,Focused_Organoids,Blurry_Organoids,Focused_Shrapnel,Blurry_Shrapnel
D019T01P003L08_O_22,514,18,80,282
D019T01P003L08_O_23,240,15,690,687
D019T01P003L08_O_24,412,25,317,381
D019T01P003L08_P_01,563,24,111,383
D019T01P003L08_P_02,171,6,809,529
D019T01P003L08_P_03,583,42,88,378
D019T01P003L08_P_04,603,21,119,404
D019T01P003L08_P_05,565,21,94,369
D019T01P003L08_P_06,563,26,93,314
D019T01P003L08_P_07,556,18,97,359
D019T01P003L08_P_08,470,40,80,325
D019T01P003L08_P_09,400,18,405,445
D019T01P003L08_P_10,555,55,112,540
D019T01P003L08_P_11,520,21,178,434
D019T01P003L08_P_12,466,22,219,377
D019T01P003L08_P_13,260,43,413,862
D019T01P003L08_P_14,319,42,186,778
D019T01P003L08_P_15,609,35,73,433
D019T01P003L08_P_16,436,28,264,749
D019T01P003L08_P_17,625,27,129,432
D019T01P003L08_P_18,556,27,152,459
D019T01P003L08_P_19,33,7,300,309
D019T01P003L08_P_20,512,16,84,327
D019T01P003L08_P_21,531,26,99,310
D019T01P003L08_P_22,515,26,145,567
D019T01P003L08_P_23,410,48,185,429
D019T01P003L08_P_24,604,26,93,391
